iter	Passed	Remaining
0	99	99502
1	189	94697
2	272	90440
3	356	88859
4	444	88503
5	552	91562
6	632	89791
7	714	88656
8	795	87635
9	875	86686
10	945	84987
11	1026	84512
12	1101	83640
13	1173	82623
14	1239	81370
15	1304	80196
16	1385	80113
17	1459	79627
18	1528	78901
19	1591	77978
20	1654	77119
21	1719	76417
22	1782	75715
23	1846	75086
24	1911	74539
25	1977	74095
26	2043	73629
27	2110	73281
28	2175	72825
29	2241	72478
30	2309	72193
31	2375	71867
32	2440	71525
33	2503	71118
34	2567	70794
35	2632	70480
36	2695	70162
37	2760	69886
38	2824	69597
39	2892	69414
40	2958	69197
41	3023	68954
42	3088	68728
43	3153	68515
44	3218	68297
45	3285	68146
46	3349	67910
47	3415	67742
48	3480	67548
49	3549	67438
50	3613	67242
51	3677	67038
52	3740	66834
53	3806	66680
54	3872	66535
55	3937	66380
56	4005	66260
57	4069	66094
58	4138	66002
59	4210	65960
60	4272	65771
61	4339	65657
62	4423	65788
63	4495	65752
64	4565	65675
65	4629	65516
66	4696	65394
67	4761	65261
68	4841	65318
69	4908	65206
70	4974	65085
71	5044	65014
72	5108	64871
73	5173	64735
74	5240	64628
75	5307	64531
76	5382	64517
77	5456	64496
78	5524	64411
79	5596	64364
80	5660	64217
81	5726	64106
82	5802	64110
83	5868	63991
84	5932	63861
85	5997	63739
86	6070	63701
87	6152	63760
88	6220	63674
89	6301	63714
90	6384	63773
91	6462	63785
92	6540	63784
93	6628	63884
94	6706	63886
95	6789	63931
96	6867	63929
97	6944	63913
98	7026	63943
99	7107	63968
100	7190	64000
101	7266	63973
102	7342	63942
103	7413	63874
104	7486	63812
105	7563	63791
106	7642	63781
107	7801	64434
108	7902	64593
109	7981	64575
110	8060	64559
111	8143	64566
112	8219	64517
113	8294	64463
114	8364	64373
115	8430	64243
116	8510	64231
117	8586	64181
118	8657	64096
119	8724	63977
120	8792	63871
121	8857	63747
122	8926	63649
123	8992	63529
124	9062	63435
125	9129	63323
126	9199	63239
127	9265	63118
128	9336	63036
129	9407	62960
130	9472	62837
131	9543	62752
132	9616	62684
133	9688	62611
134	9765	62568
135	9890	62831
136	9971	62812
137	10046	62756
138	10119	62683
139	10192	62610
140	10269	62564
141	10343	62495
142	10420	62448
143	10507	62462
144	10587	62428
145	10670	62413
146	10738	62310
147	10812	62247
148	10887	62180
149	10960	62111
150	11033	62038
151	11103	61944
152	11174	61859
153	11241	61755
154	11308	61648
155	11381	61575
156	11452	61495
157	11520	61396
158	11590	61304
159	11658	61206
160	11725	61102
161	11802	61054
162	11869	60951
163	11948	60909
164	12020	60828
165	12087	60730
166	12154	60627
167	12231	60573
168	12303	60497
169	12371	60403
170	12438	60300
171	12510	60224
172	12587	60174
173	12659	60098
174	12726	59994
175	12794	59899
176	12869	59840
177	12938	59748
178	13005	59650
179	13072	59552
180	13149	59500
181	13219	59414
182	13288	59324
183	13353	59219
184	13424	59138
185	13491	59043
186	13559	58952
187	13634	58890
188	13704	58804
189	13773	58717
190	13860	58707
191	13941	58670
192	14019	58619
193	14086	58522
194	14154	58433
195	14224	58349
196	14294	58265
197	14360	58167
198	14432	58093
199	14501	58004
200	14567	57907
201	14634	57812
202	14701	57719
203	14773	57645
204	14843	57563
205	14910	57469
206	14977	57377
207	15049	57304
208	15117	57213
209	15185	57126
210	15264	57079
211	15331	56985
212	15399	56899
213	15466	56805
214	15540	56740
215	15607	56648
216	15679	56575
217	15755	56516
218	15824	56432
219	15892	56345
220	15962	56264
221	16030	56178
222	16095	56083
223	16166	56004
224	16250	55974
225	16317	55884
226	16386	55802
227	16454	55713
228	16519	55619
229	16586	55529
230	16653	55438
231	16721	55355
232	16792	55279
233	16861	55194
234	16936	55133
235	17010	55067
236	17086	55008
237	17158	54935
238	17231	54866
239	17305	54800
240	17376	54724
241	17452	54664
242	17523	54590
243	17596	54519
244	17662	54429
245	17733	54352
246	17800	54267
247	17873	54196
248	17947	54130
249	18025	54075
250	18098	54007
251	18167	53925
252	18236	53844
253	18304	53759
254	18374	53681
255	18445	53606
256	18518	53537
257	18589	53463
258	18662	53394
259	18739	53334
260	18815	53275
261	18884	53194
262	18952	53111
263	19018	53020
264	19088	52943
265	19157	52862
266	19231	52795
267	19308	52736
268	19374	52649
269	19441	52563
270	19511	52485
271	19585	52419
272	19653	52338
273	19717	52244
274	19784	52160
275	19852	52077
276	19920	51994
277	19987	51909
278	20056	51829
279	20130	51763
280	20201	51690
281	20269	51608
282	20335	51522
283	20403	51440
284	20471	51357
285	20551	51306
286	20619	51225
287	20685	51139
288	20755	51063
289	20822	50978
290	20908	50942
291	20971	50847
292	21038	50764
293	21104	50679
294	21170	50593
295	21235	50506
296	21300	50418
297	21367	50335
298	21434	50251
299	21502	50171
300	21568	50087
301	21634	50002
302	21703	49924
303	21777	49857
304	21843	49775
305	21912	49697
306	21987	49633
307	22064	49574
308	22137	49505
309	22203	49420
310	22270	49339
311	22334	49251
312	22401	49168
313	22468	49087
314	22538	49011
315	22603	48927
316	22669	48843
317	22740	48770
318	22809	48693
319	22881	48622
320	22949	48543
321	23013	48457
322	23080	48375
323	23152	48305
324	23229	48246
325	23307	48186
326	23380	48119
327	23451	48047
328	23522	47974
329	23602	47919
